2014-07-09|12:49:41|WorldCup v0.13.f|Match Stats File
MatchID|Team Side|Team Name|Goals Scored|Team Badge|Possession %|Shots|Shots On Goal|Corners|Fouls|Match Notice
25455848|Away|Colombia|4|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/colombia.png|39|13|4|2|18|No Special Notice
25285354|Home|Costa Rica|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/costa-rica.png|44|4|2|3|18|No Special Notice
25285354|Away|England|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/england.png|56|8|1|7|16|No Special Notice
25285368|Home|Italy|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/italy.png|57|9|1|3|19|No Special Notice
25285368|Away|Uruguay|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/uruguay.png|43|14|5|3|19|No Special Notice
25285277|Home|Cameroon|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/cameroon.png|45|12|1|6|14|No Special Notice
25285277|Away|Brazil|4|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/brazil.png|55|19|11|7|19|No Special Notice
25285326|Home|Croatia|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/croatia.png|55|10|3|7|17|No Special Notice
25285326|Away|Mexico|3|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/mexico.png|45|11|4|9|12|No Special Notice
25285263|Home|Australia|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/australia.png|42|4|0|2|14|No Special Notice
25285263|Away|Spain|3|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/spain.png|58|10|4|6|9|No Special Notice
25285270|Home|Netherlands|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/netherlands.png|32|13|4|2|25|No Special Notice
25285270|Away|Chile|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/chile.png|68|8|1|7|14|No Special Notice
